iteration,R,chord_x,chord_t,ugt,beta_in,half_wedge_in,Rle,beta_out,Rte,Nb,throat,half_wedge_out
check,5.5,1.102,0.591,6.5,35.0,9.0,0.031,-57.0,0.016,51.0,0.337,0.0
check2,5.5,1.102,0.591,6.5,35.0,9.0,0.031,-57.0,0.016,51.0,0.0,0.0
