-29.23611;68.59485
-26.45833;68.59485
-23.21759;68.59485
-19.74537;68.47775
-15.5787;68.47775
-11.875;68.47775
-8.86574;68.36066
-5.39352;68.12646
-2.38426;68.00937
0.625;67.77518
4.56019;67.54098
8.03241;67.42389
12.43056;67.1897
16.36574;66.9555
20.53241;66.48712
24.93056;66.13583
29.56019;65.66745
33.72685;65.19906
37.89352;64.73068
41.59722;64.37939
45.06944;63.91101
48.31019;63.44262
51.31944;62.97424
55.02315;62.50585
58.26389;62.03747
61.73611;61.45199
65.43981;60.86651
69.83796;60.16393
