11.24363;0.15045
15.83873;0.15009
21.96446;0.15003
28.09018;0.14997
34.21509;0.15023
40.03534;0.14986
44.61582;0.15522
48.58454;0.16028
52.85874;0.16565
57.43841;0.17133
61.71179;0.17702
65.98599;0.18239
68.73281;0.18619
74.22971;0.1925
77.5883;0.19661
82.47344;0.20261
86.1375;0.20703
89.49528;0.21145
92.85305;0.21588
96.51792;0.21998
100.18198;0.2244
103.54057;0.22851
108.73119;0.23482
111.47801;0.23862
114.22646;0.24177
117.27958;0.24556
120.02722;0.24904
124.9278;0.24899
130.13466;0.24894
136.26038;0.24888
142.07982;0.24883
146.9804;0.24878
151.57551;0.24842
155.55885;0.24775
159.23591;0.24707
161.07363;0.24706
