x	y	z
0.124552	-0.000956	0.014505
0.124553	-0.000920	0.014330
0.124553	-0.000872	0.014153
0.124553	-0.000813	0.013974
0.124554	-0.000743	0.013794
0.124554	-0.000662	0.013611
0.124555	-0.000570	0.013427
0.124555	-0.000570	0.013427
0.124555	-0.000524	0.013344
0.124555	-0.000479	0.013266
0.124555	-0.000434	0.013194
0.124555	-0.000388	0.013128
0.124556	-0.000343	0.013067
0.124556	-0.000298	0.013011
0.124556	-0.000252	0.012961
0.124556	-0.000207	0.012917
0.124556	-0.000161	0.012878
0.124556	-0.000116	0.012845
0.124556	-0.000070	0.012817
0.124556	-0.000025	0.012795
0.124556	0.000021	0.012778
0.124556	0.000066	0.012767
0.124556	0.000112	0.012761
0.124556	0.000157	0.012761
0.124556	0.000203	0.012766
0.124556	0.000249	0.012777
0.124556	0.000294	0.012794
0.124556	0.000340	0.012816
0.124555	0.000385	0.012843
0.124555	0.000431	0.012876
0.124555	0.000477	0.012915
0.124555	0.000523	0.012959
0.124555	0.000568	0.013008
0.124555	0.000614	0.013063
0.124554	0.000660	0.013124
0.124554	0.000706	0.013190
0.124554	0.000751	0.013262
0.124554	0.000797	0.013339
0.124553	0.000843	0.013422
0.124552	0.000961	0.013637
0.124551	0.001083	0.013852
0.124550	0.001211	0.014067
0.124549	0.001345	0.014282
0.124547	0.001484	0.014497
0.124545	0.001628	0.014712
0.124543	0.001779	0.014928
0.124541	0.001936	0.015143
0.124538	0.002099	0.015358
0.124535	0.002269	0.015573
0.124532	0.002446	0.015788
0.124528	0.002629	0.016003
0.124524	0.002820	0.016218
0.124519	0.003018	0.016433
0.124514	0.003224	0.016648
0.124509	0.003438	0.016863
0.124502	0.003659	0.017078
0.124495	0.003889	0.017293
0.124488	0.004127	0.017508
0.124479	0.004374	0.017723
0.124470	0.004630	0.017938
0.124460	0.004894	0.018154
0.124449	0.005168	0.018369
0.124437	0.005451	0.018584
0.124424	0.005743	0.018799
0.124409	0.006045	0.019014
0.124394	0.006358	0.019229
0.124377	0.006680	0.019444
0.124359	0.007013	0.019659
0.124339	0.007356	0.019874
0.124317	0.007710	0.020089
0.124294	0.008075	0.020304
0.124269	0.008451	0.020519
0.124242	0.008838	0.020734
0.124213	0.009236	0.020949
0.124182	0.009647	0.021164
0.124148	0.010069	0.021379
0.124112	0.010503	0.021595
0.124074	0.010949	0.021810
0.124072	0.010969	0.021822
0.124071	0.010979	0.021831
0.124071	0.010987	0.021841
0.124070	0.010994	0.021852
0.124069	0.011000	0.021864
0.124069	0.011004	0.021877
0.124069	0.011006	0.021890
0.124069	0.011006	0.021903
0.124069	0.011005	0.021917
0.124069	0.011002	0.021930
