index,R,chord_x,chord_t,ugt,beta_in,half_wedge_in,Rle,beta_out,Rte,Nb,throat,half_wedge_out
rhub,0.8962034686384721,0,0,5.0,0.0,6.5,0.00532663341415519,-67.14132059086518,0.0027394114701369543,74,0,0
r2,0.950696291451537,0,0,5.75,0.0,8.125,0.0054487103442918015,-60.456308320478854,0.0025427314940028403,74,0,0
rmean,1.0051891142646021,0,0,6.5,0.0,9.75,0.0055476529160739686,-55.226376845808815,0.002304409672830725,74,0,0
r4,1.059681937077667,0,0,7.25,0.0,11.375,0.005623461129501689,-50.88906345875601,0.0020244460066206078,74,0,0
rtip,1.1141747598907321,0,0,8.0,0.0,13.0,0.005676134984574966,-47.18508982523159,0.0017028404953724897,74,0,0
