index,R,chord_x,chord_t,ugt,beta_in,half_wedge_in,Rle,beta_out,Rte,Nb,throat,half_wedge_out
rhub,0.8962034686384721,0,0.0,5.0,22.837231773858736,6.5,0.006064167271499755,-60.97079734480798,0.0031187145967713024,65,0,0
r2,0.950696291451537,0,0.0,5.75,8.456439639222168,8.125,0.006203147161193743,-57.18654693432265,0.0028948020085570797,65,0,0
rmean,1.0051891142646021,0,0.0,6.5,0.6677144084260228,9.75,0.00631578947368421,-55.00797980144134,0.002623481781376518,65,0,0
r4,1.059681937077667,0,0.0,7.25,-3.6943482078022396,11.375,0.006402094208971153,-53.37763491503611,0.002304753915229615,65,0,0
rtip,1.1141747598907321,0,0.0,8.0,-6.057381631098618,13.0,0.006462061367054577,-51.92831401597236,0.001938618410116373,65,0,0
