r_p,Cp_x1,Cp_x2,Cp_u1,Cp_u2,Rn_prim,Rn
0.75,0.47916637740319734,0.5310162333409093,0.39583333333333337,0.7291666666666666,0.25,0.14524435432427263
0.9,0.42907833987861,0.44819473314017816,0.3831514639631756,0.6609292417409534,0.4199551634977061,0.3864145693744828
1.0,0.4,0.4,0.375,0.625,0.5,0.5
1.1,0.3735104102247308,0.35544648191833783,0.3672284243733774,0.5945011516461046,0.5628501927184173,0.5891858427946641
1.25,0.33750774824117913,0.2926488184003434,0.35634471518593336,0.5563447151859334,0.6349242278512532,0.6914605262746814
